SESSION_ID,TIMESTAMP,COMMAND,LATENCY
swarm_exfil_000443_922,1771049086.6002674,"find / -name ""*shadow"" 2>/dev/null",6.071049213409424
swarm_exfil_001327_569,1771136010.865644,find / -perm -4000 -print 2>/dev/null,1.0202291011810303
swarm_exfil_001823_421,1771049975.6470964,"find / -name ""*shadow"" 2>/dev/null",6.066249847412109
swarm_exfil_002616_382,1771050413.5747256,"find / -name ""*shadow"" -o -name ""*ssh*"" -o -name ""*.db"" -o -name ""*.env"" -o -name ""*.conf"" -o -name ""*.wallet"" 2>/dev/null",1.0160865783691406
swarm_exfil_003337_931,1771137319.9054544,"find / -name ""*shadow"" -o -name ""*ssh*"" -o -name ""*.db"" -o -name ""*.conf"" -o -name ""*.env"" -o -name ""*.wallet"" 2>/dev/null",1.0098237991333008
swarm_exfil_003359_954,1771050867.6827266,"find / -name ""*shadow*"" 2>/dev/null",6.0703582763671875
swarm_exfil_004114_626,1771137736.435996,"find / -name ""*shadow"" 2>/dev/null",6.055666446685791
swarm_exfil_004114_626,1771137785.885913,"find / -name ""id_rsa"" 2>/dev/null",1.0106890201568604
swarm_exfil_004155_717,1771051423.731894,"find / -name ""*shadow"" 2>/dev/null",6.081860780715942
swarm_exfil_004937_143,1771138181.0740259,"find / -name ""*shadow*"" -print 2>/dev/null",1.0117120742797852
swarm_exfil_004945_137,1771051907.9721184,"find / -name ""*shadow*"" 2>/dev/null",6.060298919677734
swarm_exfil_005715_679,1771138731.6738622,"find / -name ""*shadow"" 2>/dev/null",6.052614688873291
swarm_exfil_005743_723,1771052318.599076,"find / -name ""*shadow*"" 2>/dev/null",6.088583469390869
swarm_exfil_011108_244,1771139506.8896122,"find / -name ""*shadow*"" 2>/dev/null",6.032277345657349
swarm_exfil_011108_244,1771139583.0715315,ls -la /etc/shadow,1.6390316486358643
swarm_exfil_011653_872,1771053501.4692633,"find / -name ""*.env"" -o -name "".env"" 2>/dev/null",1.0098903179168701
swarm_exfil_012157_521,1771140241.9612515,"find / -name ""*.env"" -o -name "".bash_history"" -o -name ""id_rsa"" -o -name ""id_rsa.pub"" -o -name ""wallet.dat"" 2>/dev/null",1.0046164989471436
